author	comment	vote
居无间	陈正道与韩延的作品基本就代表着华语类型片的发展态势，每一部都值得关注。卡司很强啊，段奕宏必然是稳定的好，倒是很期待张子枫，一个越来越有灵气的小演员。	72
壹安²	陈正道的《催眠大师》《记忆大师》郭富城的《踏血寻梅》段奕宏的《暴雪将至》张子枫的《唐人街探案》许玮甯的《目击者之追凶》，悬疑片一线神仙阵容，怎么这么会选角？？	178
徐若风	陈正道新片简直是全金马阵容。。期待。	167
杉姐	郭富城＋段奕宏＋张子枫，颜值实力咖，超级想看啊！	104
[已注销]	拍好了票房➕撸奖，期待城城老段	91
章子怡	这是什么神仙阵容…	57
咸	悬疑不得不看 特别还有子枫小妹妹	61
黑道少女沈來迟	有老段很期待，但有天王又很赶客。	37
dudubird	段总、城城，新cp预定了👌🏻	33
陆支羽	陈正道新片《秘密访客》，郭富城、段奕宏两大影帝联手，还有张子枫、许玮甯、荣梓杉等主演，真的是全金马阵容了！陌生访客闯入甜蜜四口之家，究竟会翻涌出什么样的秘密呢？期待明年见！	44
（N+1）的n次方	子枫妹妹加油！爱你❤️期待新作品	52
Enjolras	郭富城、段奕宏，应该是两位越老越妖的影帝了吧，陈正道这片子期待一波~	31
萌上战友情	陈正道+郭富城+段奕宏+张子枫。	41
听见流星的声音	陈正道不错，一定程度补充了中国悬疑片种类型的薄弱	26
乌鸦火堂	陈正道的片子还是要看的，更何况这么赞的卡司阵容，故事也是我偏爱的“闯入者”构架，几年前跟朋友一块研究剧本的时候构思过类似的故事，但我对自己的结尾不满意，所以很想看这片的故事该怎样发展的	12
某妮	张子枫真的资源很好惹	20
此处不存在昵称	《无双》+《记忆大师》之后，期待感倍升！	14
小liliLynn	段段宏～段段宏～耶耶耶✌🏻	11
环球羊驼影业	期待悬疑大片	6
萧垚	郭富城段奕宏张子枫，三星期待	10
subjective？	这阵容，2020最为期待的电影之一。老段是从《士兵》、《团长》就喜欢得不得了。同时也期待子枫的表演，她不笑的时候，疏离感和质感极强，笑的时候又极为亲切可爱，足够有张力。	6
仰望天蓝	老陈老郭加老段，这卡司。。。望眼欲穿，期待到炸！	5
团小纸	陈正道可以	0
冯小强	悬疑片专业户导演陈正道，郭富城段奕宏双影帝男主，阵容炸裂，非常想看…	2
吃面包的兔斯基	我预感到又是一部gay里gay气的片……郭先生这几年的作品和男人之间的性张力真的很足，从王千源到发哥，左右为男……	5
银河美少年老杨	不知道为什么，我一直对陈正道这个导演有着非凡的信心，虽然记忆大师搅成那个鬼样emmmmmm，这班底过于金马味，不过有本事拍成拜访者Q吗？说实话，老段演双男主，除了黄渤，基本上都有被深柜的危险	10
曼靑	编剧: 殳俏	1
胧月夜	这对男男有期待。。。😁	1
鸡排饭加个蛋	老段and子枫，期待值🆙	9
xi-xia	很多年前就喜欢《双食记》，对这部殳小姐编剧的电影也很期待。关键是，有老段！	10
Nu_Lyeong	快给我上，想老段了	4
💎棱	做梦梦到这部电影……开分4.1	3
绯色_神仙	豪华阵容，又是我最喜欢的悬疑题材，不得不期待啊！	1
杉森小岛	神仙卡司？	7
乌龙的emma	陈正道+段奕宏+悬疑题材 这就是我期待的理由	0
八点	郭富城+子枫妹妹！这是什么，神仙阵容！	5
凉	郭富城，段奕宏，许玮蜜	1
Scripting	催眠大师扬名，记忆大师折戟，秘密访客如何呢？期待。待看。	0
对你爱不完	必须期待。	1
文淇	啊啊啊啊期待！	2
雪中来客	哇，这个阵容是要炸	2
衣裳如雪徐凤年	都1年了，啥时候上映	2
一位少男	真香预感！	1
惜知猫	莫非是国版看不见的客人？	0
21CENTURYGIRL	编剧居然是美食作家殳俏？！	2
summy	这个阵容完全奔奖去的，希望能大爆，郭富城段奕宏只要不崩就能拿奖，对张子枫妹妹很期待，不知道会带来什么样的火花	4
Whackamole	这阵容真的是很期待了！	0
一棵花白	期待，想看~	0
郑晓峰	我要在胸口比划一个郭富城！！！	1
天涯小鸟movie	是那个拍《盛夏光年》《记忆大师》《催眠大师》《结爱》的陈正道，既能掌控商业片，也能将台湾小清新青春片拍出味道~很期待！	2
爸爸	编剧是殳俏～那是又有好菜上桌啦？	0
闪亮亮	张子枫呀 段老师	3
😶	我发哥还能再战50年	0
Circle	陈正道。	0
言外之茵	悬疑片的顶级卡司了吧，我爱导演	5
鬈毛毛	阵容woc	0
水瓶座女孩	期待看到我家许小甯～～～	0
沙赞！	陈正道=想看！	1
michelle	一般有段奕宏的悬疑片那个坏的都是他，我把话放这看会不会打脸	0
寂语	阵容，剧情。	0
笔哩吧啦	张子枫太会挑了，这个阵容很期待了！	5
张不才	神仙阵容，期待	0
sheep717	就想看许玮甯	1
清落	老段！！这个神仙阵容，还是我喜欢的类型，期待！	2
əlʎʞuɐʇ	希望可以如期上映！	0
天霸	神仙选角	0
張阿拉丝裤	阵容搭配勾人了	1
繁星坠北	以前一直以为子枫妹妹资源不好，现在发现……不是这么回事。	4
Damien	都是演技派我就放心了	0
大许	殳俏编剧	0
雪泥鸿爪爱谁谁	这个阵容可了，希望天王能够自然点，别拉低了老段和张子枫的演技	0
Aries	这是什么神仙阵容！快定档！	0
桥本环奈Kanna	期待一下，如果评价好放假就去看	0
影王	你瞅瞅这选角。
《踏血寻梅》的郭富城，《暴雪将至》的段奕宏，《唐人街探案》的张子枫，《目击者之追凶》的许玮甯……
悬疑片一线神仙阵容。
看简介，似乎打算演一个和睦的四口之家。
当然，这家的和平，肯定会有“怪事”来打破。
不知道拍出了《催眠大师》、《记忆大师》，风格华丽且清新，钻研于细节安排和情节设置的陈正道，最终会呈现一个怎么样的故事？
暑期档6月25日上映	0
ooscvan	这是什么神仙卡司？！！！超级期待张子枫！！！！！	5
乡村水泥路	啊老段！	1
mr.left	呃，访问者Q？	0
特瑞莎修女	许玮甯！许玮甯！	0
倾盆小雨	老段	1
陈胖皂	欸，编剧居然是殳俏……震惊脸。。。	2
致远	看到郭富城没兴趣，看到小演技派张子枫可以看一看	5
慈祥和蔼康姑妈	组长要来了！！！！	2
shelly	这什么神仙阵容啊？怎么能这么刚好把我喜欢的演员都聚齐了！！！导演也是非常值得期待！！！	2
钢化膜职业杀手	陈正道终于不合作杨子姗了23333	0
碎银子	陈正道，画风	0
ElinaS	这个卡司，有点🉑️	0
一颗大草莓	太期待了！！！！	0
此木为柴	陈正道是年轻导演里为数不多既靠谱又有想法的，但是无论是《催眠大师》还是《记忆大师》都差那么一口气，看这阵容还是很期待的	0
此用户退出群聊	很想看但对陈正道毫无信心	0
[已注销]	这什么……《定理》还是《拜访者Q》？	0
龙龙	神仙阵容	0
爱吃辣条的老崔	拿奖的题材＋阵容嗷，属实给力，必看！	0
pumawu	赶紧上映吧……	0
Solo	不是翻牌罪恶之家吗？	0
挂名也	期待	0
U-Kumario	老段！	0
改名很烦啊	段奕宏张子枫给我冲😂	0
幻影韩行	喜欢暗黑风格的电影，希望不要跟竹内结子演的那个《毛骨悚然》太相似。看海报有浓浓的精神控制的味道。	0
耶斯莫拉	这个简介看起来很不错的样子，能不能冲奥试试 有点寄生虫的感觉	0
for Lawrence	迟迟没消息	0
皮仔	阵容太强了 期待新片	0
王槑	段	0
橘禁乌	看来记忆总是不肯放过陈导啊	0
市井	有点期待	0
第七夜	期待陈导的新作！这个选角好喜欢！	2
H奶酪	选角导演立刻出来吃鸡腿。	0
啊柒	恰好现在电影院也可以开门了，看了这个导演和演员的阵容我觉得可以期待一下。如果到端午能如期上映的话我或许会去电影院看。	0
硬邦邦	陈正道还行 看到郭富城有点害怕	0
Daff	海报很好看哦	0
奎恩奎恩i	我的妈呀这什么神卡司！！！！	0
阿左	这简介。。。。难道不是要抄袭《罪恶之家〉的套路？？？？	1
未注销	段哥~	0
男神or学霸	因为导演很擅长拍悬疑片，而演员阵容强大，还有很喜欢的张子枫。	4
Z	这是什么神仙阵容？	1
洛藜丶	等妹妹	1
抱水	老段	0
Lundie_Deng	看好张子枫，段奕宏和郭富城。这三应该能撸下几个奖	4
枫雅	肯定是张子枫啦	5
五月碧云天	演员靠谱，期待一下。不知道老段跟郭富城能不能有cp感2333333	0
狂狗狗	金马阵容，lmao	0
默小沉	生日电影	0
Chris	实不相瞒，我觉得郭富城这个角色到最后会是gay…	6
凉月十七	期待子枫	0
面包树	这阵容就两字，必看	0
gdtjv	还是很期待张子枫的	0
Cherry咧	老段！！！终于定档我又可以了嘻嘻	0
Vicky菀	张子枫 段奕宏 许玮宁 都是我喜欢的演员呀	3
Metamon	希望到时候能正常看电影……	0
拒绝翘二郎腿	为了妹妹的这个剧照眼神 都超级期待这部电影	4
⑨	天啊 这个卡司!!!	0
雨过天青的随意	这个导演靠谱	0
Shire	定档了也还得等半年😣
可以在大屏幕上看到老段啦🤩	0
Doblossom	许玮甯！！！	0
二勒个潇	这个阵容很强大…	1
lris	太期待了 撸奖预订	1
二十啷当岁	神仙卡司
城城和老段演双男主，我预定要去电影院二刷。心脏暴击	0
Co没有矩阵	豪华卡司	0
宫偿	哇，又是一部神仙阵容的影片，都是实力派啊，期待	1
陈李柒柒	哇塞我爱的两个男人集结啦，城城你这几年到底拍了多少的戏	0
拎壶冲	这阵容 爱了爱了	0
暖暖的很贴心	预订	0
能量少女	期待期待	0
鸭里士多德	期待！坐等上映！	0
一点点	虽然好晚，但也算终于定档了。	0
想翠儿了吗？	什么时候能上映呢？	0
亦可寻陳	悬疑神卡司，不期待不行！	0
不难过	mark！！！	0
夏日晚风	从“大师”系列到《秘密访客》，陈正道一直是华语影坛悬疑片引领者，他的悬疑片值得期待。	0
Ding	子枫姐！	1
karrymeyrrak	6.25~	0
萤火之森	都是演技派，期待啊啊啊啊	0
昆诺兰汀	我赌陈正道。	0
匿名骨头	2019年度期待  已准备好电影票钱	2
@你的头好大	搓手期待🙆	0
Gunanxing	home sweet home……？？？	0
歌里	段奕宏我来了	0
忍者爱吃鱼	是我喜欢的那种风格，有郭富城期待～	0
没有昵称的昵称	最喜欢看悬疑的片子了，期待	0
为学习戒豆瓣	迷上子枫妹妹	2
一意孤行	郭富城段宏毅啊 必须冲！	0
方方土	卡司可以	0
修远兮	神仙阵容啊	0
Carrie	想早点看到老段的新片	1
莫失莫忘	阵容满意 悬疑类型也对口	0
LaPolinny	妹妹我来了😊	0
任周游	期待张子枫•“汪楚瞳”	3
不想注销了	段奕宏男神啊！！！	0
陌上孤酒	期待郭富城段奕宏	0
言向天边月	想看！！	0
任先生	这个简介为什么有一种《母亲！》的感觉	0
老好人	这卡司....期待值爆表	0
旎氏妹妹	这个阵容，值得期待	0
Donner .	拜访者 Q	0
吼刨馨	老段老段老段	0
Tanqixx	希望如期上映。	0
石头人生	老段的都想看	0
别看了比你靓	爸妈颜值爆表系列	0
钟楼怪人	冲着老段来的，有妹妹就更要看了	0
苏大强	期待陈正道的	0
德芙	组长！！冲鸭！！	0
水仙華	其实我觉得郭富城的电影演技是在线的
段奕宏的话希望这部能把影帝包袱放一放
希望张子枫的角色是暗黑的就好了	0
。	老段的片子错不了👍	0
[已注销]	阵容感人	0
蓝蓝吃土豆	阵容可以，看剧本了。	0
群星的尽头	准备好还老段电影票啦~	0
李寻欢	陈正道+段奕宏+张子枫	1
杂陈东西	老段啊	0
一坨棉花	有子枫妹妹 要去影院支持！	0
扑克面具	预估……伦理片。	0
割脸街	期待一下?	0
鸡腿	组长和子枫妹妹	1
洛伊快跑	2020最期待的电影！	1
-  Remember	张子枫加郭富城是什么组合啊	0
🈚️	想看想看！！！！都是喜欢的演员！	0
想吃火锅的魏魏	秘密访客。	0
空山新雨后	里面好多老戏骨，演技派耶，喜欢看段奕宏演戏，期待下。	0
大头菜嘤	来了	0
MetaphoricalGi	卡司牛批	0
曙光。	！！！！	0
梨子	卡司🉑️	0
火箭少女–芭比	看起来还不错	0
yudangy	陈正道和这阵容真是不得不期待了	0
就一养鱼的	是喜欢的题材喜欢的导演喜欢的演员了！	0
lindsoo	啥时候定档呀
超级期待的！！	0
范不思哲	陈正道哎	0
樱桃	喜欢这种题材	0
俗	老段就是唯一的理由	0
头像骗子	我喜欢悬疑，等着上	0
坍缩荞麦馍粒子	卧槽这是什么神仙卡司？哪里有老段哪里就有我	1
惟愿未圆.	悬疑是我想看的理由，还有段奕宏	0
拔碗流油粉	天王+影帝+在国产悬疑界颇有风格的导演，给我gkd上映	0
我不饿我不困	很期待子枫妹妹	0
Lisbeth	张子枫段奕宏郭富城 我天…	0
反弹	期待！	0
。	看这个简介有点《临渊而立》的味道，很期待	0
刚失恋的农m	c 7	0
肉肉爱吃肉	想看	0
。	这个卡司我太喜欢了	0
faith	这个阵容我他妈磕爆	0
Kelin	阵容每一个都喜欢…	1
